trial,stimulus,static_shannon,adaptive_shannon_w10,adaptive_shannon_w20,adaptive_shannon_w50,bayesian_surprise,posterior_entropy,changepoint_surprise,changepoint_prob,run_length_mean,estimated_volatility
0,0,0.32557587190250664,1.0,1.0,1.0,0.1931471805599453,-0.1931471805599453,1.0,0.005,0.995,0.0454146923337941
1,0,0.32557587190250664,0.5849625007211561,0.5849625007211561,0.5849625007211561,0.07213177477483135,-0.4319456220014435,0.5867669975679042,0.004999999999999999,1.986264080100125,0.08089499409671376
2,0,0.32557587190250664,0.4150374992788438,0.4150374992788438,0.4150374992788438,0.03768207245178079,-0.6362943611198908,0.41804398740869597,0.005,2.9750417222336027,0.10954824735033802
3,1,2.3074285251922473,2.321928094887362,2.321928094887362,2.321928094887362,0.32610457910076684,-0.36239894022065755,2.3067966688398576,0.004999999999999999,3.9280933632754094,0.22785576224439041
4,0,0.32557587190250664,0.5849625007211561,0.5849625007211561,0.5849625007211561,0.03879844144149791,-0.48453071499548805,0.5982602024969094,0.005,4.929498620239542,0.20866160993048125
5,0,0.32557587190250664,0.4854268271702417,0.4854268271702417,0.4854268271702417,0.026948427097403638,-0.5971934278071807,0.4919448905650093,0.005,5.915151828183357,0.21880121070579467
6,0,0.32557587190250664,0.4150374992788438,0.4150374992788438,0.4150374992788438,0.01982492959463844,-0.7003516907351486,0.4200479101177818,0.005,6.895726305673172,0.23609597179361927
7,0,0.32557587190250664,0.36257007938470825,0.36257007938470825,0.36257007938470825,0.015203317169794506,-0.7949200872700253,0.36709537212320503,0.005000000000000001,7.873491609394563,0.2557125346631317
8,0,0.32557587190250664,0.3219280948873623,0.3219280948873623,0.3219280948873623,0.012032440203098016,-0.8819525274731177,0.3262871702460718,0.005,8.849300653663224,0.2760504227810007
9,0,0.32557587190250664,0.289506617194985,0.289506617194985,0.289506617194985,0.009761604553060188,-0.9624212027332533,0.2938222638024835,0.004999999999999999,9.82358461722572,0.2964698432656603
10,1,2.3074285251922473,2.584962500721156,2.584962500721156,2.584962500721156,0.18854879101737643,-0.8176366604172927,2.563531507381674,0.005,10.636179045957423,0.4413018893061236
11,0,0.32557587190250664,0.4150374992788438,0.37851162325372995,0.37851162325372995,0.011198763301990766,-0.8826815775654495,0.3990206386508287,0.005,11.707233513042677,0.38872857873405575
12,1,2.3074285251922473,2.0,2.222392421336448,2.222392421336448,0.12221604771815553,-0.8144214348074144,2.187160262003745,0.004999999999999999,12.416811053550722,0.5959824259792021
13,1,2.3074285251922473,1.5849625007211563,1.9068905956085185,1.9068905956085185,0.08686018008665952,-0.7846149482274072,1.8271660705796238,0.005000000000000001,12.82813089641087,0.9401193685034575
