trial,stimulus,static_shannon,adaptive_shannon_w10,adaptive_shannon_w20,adaptive_shannon_w50,bayesian_surprise,posterior_entropy,changepoint_surprise,changepoint_prob,run_length_mean,estimated_volatility
0,0,0.32934556644984536,1.0,1.0,1.0,0.1931471805599453,-0.1931471805599453,1.0,0.005,0.995,0.0454146923337941
1,1,2.2926337880933243,1.5849625007211563,1.5849625007211563,1.5849625007211563,0.2652789553347765,-0.12509280256138888,1.5813602640409605,0.004999999999999999,1.9825561097256859,0.1086861282870057
2,0,0.32934556644984536,1.0,1.0,1.0,0.10981384722661236,-0.2349066497880008,1.003584203104894,0.005,2.9700751865601682,0.13565791210621173
3,0,0.32934556644984536,0.7369655941662062,0.7369655941662062,0.7369655941662062,0.06082562376599032,-0.36239894022065755,0.7385594852730077,0.004999999999999999,3.952399956311333,0.1718738115252414
4,0,0.32934556644984536,0.5849625007211561,0.5849625007211561,0.5849625007211561,0.03879844144149791,-0.48453071499548805,0.5863639038945044,0.005,4.931606588577452,0.20865444416539616
5,0,0.32934556644984536,0.4854268271702417,0.4854268271702417,0.4854268271702417,0.026948427097403638,-0.5971934278071807,0.486936196823095,0.005,5.908488141673584,0.2444454317725536
6,0,0.32934556644984536,0.4150374992788438,0.4150374992788438,0.4150374992788438,0.01982492959463844,-0.7003516907351486,0.41671521368850695,0.005,6.883504384581689,0.2789248287174997
7,0,0.32934556644984536,0.36257007938470825,0.36257007938470825,0.36257007938470825,0.015203317169794506,-0.7949200872700253,0.3644181011332015,0.005,7.856964825545851,0.3120874007719821
8,0,0.32934556644984536,0.3219280948873623,0.3219280948873623,0.3219280948873623,0.012032440203098016,-0.8819525274731177,0.32393286450483755,0.004999999999999999,8.829094264192138,0.34401737378666364
9,0,0.32934556644984536,0.289506617194985,0.289506617194985,0.289506617194985,0.009761604553060188,-0.9624212027332533,0.29165146409840154,0.005,9.800063935673359,0.37481942295932597
10,1,2.2926337880933243,2.584962500721156,2.584962500721156,2.584962500721156,0.18854879101737643,-0.8176366604172927,2.573670859097809,0.005,10.62745809023692,0.46890816160640597
11,0,0.32934556644984536,0.4150374992788438,0.37851162325372995,0.37851162325372995,0.011198763301990766,-0.8826815775654495,0.397720634334556,0.005,11.697002654071806,0.42355440380049253
12,1,2.2926337880933243,2.584962500721156,2.222392421336448,2.222392421336448,0.12221604771815553,-0.8144214348074144,2.1916179363347434,0.005000000000000001,12.412197468702438,0.6069476092801906
