trial,stimulus,static_shannon,adaptive_shannon_w10,adaptive_shannon_w20,adaptive_shannon_w50,bayesian_surprise,posterior_entropy,changepoint_surprise,changepoint_prob,run_length_mean,estimated_volatility
0,1,2.330148601692331,1.0,1.0,1.0,0.1931471805599453,-0.1931471805599453,1.0,0.005,0.995,0.0454146923337941
1,0,0.3198802662385037,1.584962500721156,1.584962500721156,1.584962500721156,0.2652789553347765,-0.12509280256138888,1.5813602640409605,0.004999999999999999,1.9825561097256859,0.1086861282870057
2,0,0.3198802662385037,1.0,1.0,1.0,0.10981384722661236,-0.2349066497880008,0.9964246793557547,0.005,2.965223510242665,0.17016976002233178
3,0,0.3198802662385037,0.7369655941662062,0.7369655941662062,0.7369655941662062,0.06082562376599032,-0.36239894022065755,0.7338227104197423,0.005,3.944414728501633,0.2279769000646003
4,0,0.3198802662385037,0.5849625007211561,0.5849625007211561,0.5849625007211561,0.03879844144149791,-0.48453071499548805,0.5822535633811475,0.005,4.920974482865901,0.2822418652583359
5,0,0.3198802662385037,0.4854268271702417,0.4854268271702417,0.4854268271702417,0.026948427097403638,-0.5971934278071807,0.483092309098035,0.005,5.895450978689353,0.33339328972745896
6,0,0.3198802662385037,0.4150374992788438,0.4150374992788438,0.4150374992788438,0.01982492959463844,-0.7003516907351486,0.4130174875896897,0.005,6.868223510216528,0.38184814320198013
7,1,2.330148601692331,2.1699250014423126,2.1699250014423126,2.1699250014423126,0.17510914280802004,-0.5976830557653905,2.1760854714886704,0.005000000000000001,7.791277805837701,0.40430651409409674
8,0,0.3198802662385037,0.5145731728297583,0.5145731728297583,0.5145731728297583,0.020563832827620754,-0.6753897457358669,0.5258176416924909,0.005,8.807985802349553,0.39302937426334467
9,0,0.3198802662385037,0.4594316186372972,0.4594316186372972,0.4594316186372972,0.016433529098331956,-0.7486414566523791,0.46346352671617297,0.005,9.789467815642606,0.41327307416030434
10,0,0.3198802662385037,0.4150374992788438,0.4150374992788438,0.4150374992788438,0.013439648209356392,-0.8176366604172927,0.41725931676692846,0.005,10.760624399519866,0.4422538177306996
