trial,stimulus,static_shannon,adaptive_shannon_w10,adaptive_shannon_w20,adaptive_shannon_w50,bayesian_surprise,posterior_entropy,changepoint_surprise,changepoint_prob,run_length_mean,estimated_volatility
0,0,0.32374166525929343,1.0,1.0,1.0,0.1931471805599453,-0.1931471805599453,1.0,0.005,0.995,0.0454146923337941
1,0,0.32374166525929343,0.5849625007211561,0.5849625007211561,0.5849625007211561,0.07213177477483135,-0.4319456220014435,0.5867669975679042,0.004999999999999999,1.986264080100125,0.08089499409671376
2,0,0.32374166525929343,0.4150374992788438,0.4150374992788438,0.4150374992788438,0.03768207245178079,-0.6362943611198908,0.41804398740869597,0.005,2.9750417222336027,0.10954824735033802
3,1,2.3146965256562866,2.321928094887362,2.321928094887362,2.321928094887362,0.32610457910076684,-0.36239894022065755,2.3067966688398576,0.004999999999999999,3.9280933632754094,0.22785576224439041
4,0,0.32374166525929343,0.5849625007211561,0.5849625007211561,0.5849625007211561,0.03879844144149791,-0.48453071499548805,0.5982602024969094,0.005,4.929498620239542,0.20866160993048125
5,0,0.32374166525929343,0.4854268271702417,0.4854268271702417,0.4854268271702417,0.026948427097403638,-0.5971934278071807,0.4919448905650093,0.005,5.915151828183357,0.21880121070579467
6,0,0.32374166525929343,0.4150374992788438,0.4150374992788438,0.4150374992788438,0.01982492959463844,-0.7003516907351486,0.4200479101177818,0.005,6.895726305673172,0.23609597179361927
7,0,0.32374166525929343,0.36257007938470825,0.36257007938470825,0.36257007938470825,0.015203317169794506,-0.7949200872700253,0.36709537212320503,0.005000000000000001,7.873491609394563,0.2557125346631317
8,1,2.3146965256562866,2.321928094887362,2.321928094887362,2.321928094887362,0.18046965846584628,-0.6753897457358669,2.304622320206541,0.005,8.74962104400226,0.3838689967081517
9,0,0.32374166525929343,0.4594316186372972,0.4594316186372972,0.4594316186372972,0.016433529098331956,-0.7486414566523791,0.4765151164630752,0.005,9.784875769070842,0.345016268889303
10,0,0.32374166525929343,0.4150374992788438,0.4150374992788438,0.4150374992788438,0.013439648209356392,-0.8176366604172927,0.4234780738432349,0.004999999999999999,10.7743835572701,0.3439739767228349
11,0,0.32374166525929343,0.4150374992788438,0.37851162325372995,0.37851162325372995,0.011198763301990766,-0.8826815775654495,0.3846416942873281,0.005,11.750867108410805,0.35446250908886295
12,0,0.32374166525929343,0.4150374992788438,0.34792330342030686,0.34792330342030686,0.009477075131906876,-0.9441067046454066,0.35305954386405297,0.005,12.720948223393036,0.37019425889936197
13,0,0.32374166525929343,0.4150374992788438,0.3219280948873623,0.3219280948873623,0.008125236295894567,-1.002231940941293,0.3265251399869822,0.005000000000000001,13.686886487480653,0.3888272796367968
14,0,0.32374166525929343,0.2630344058337938,0.2995602818589078,0.2995602818589078,0.0070441266830059135,-1.0573529907012187,0.30381847212759044,0.005,14.649690968084606,0.4092731516392564
15,0,0.32374166525929343,0.2630344058337938,0.28010791919273537,0.28010791919273537,0.006165818362525943,-1.1097372964587109,0.284129257245636,0.004999999999999999,15.60989761444765,0.43095269891977595
16,0,0.32374166525929343,0.2630344058337938,0.2630344058337938,0.2630344058337938,0.005442471826634598,-1.1596242127297813,0.2668760034116412,0.005,16.567828851270658,0.4535279033177531
17,1,2.3146965256562866,2.584962500721156,2.6629650127224296,2.6629650127224296,0.13142036668798251,-1.0629744039791689,2.6434111009542858,0.005,17.250605601000615,0.5827294992786568
18,0,0.32374166525929343,0.4150374992788438,0.3219280948873623,0.3219280948873623,0.006132887399520115,-1.106607291378694,0.3444251552067164,0.005,18.40303582379697,0.5224031855889114
19,0,0.32374166525929343,0.2630344058337938,0.3048545815284209,0.3048545815284209,0.005502911545235634,-1.1485247687502564,0.31533589987099897,0.005,19.422316624592547,0.5106928926485297
20,0,0.32374166525929343,0.2630344058337938,0.289506617194985,0.289506617194985,0.00496552344118939,-1.1888438275449857,0.2968372219516571,0.005,20.406504584459384,0.5140859361997907
21,0,0.32374166525929343,0.2630344058337938,0.289506617194985,0.27563444261342734,0.004503382819550872,-1.2276721531562913,0.28161643780933054,0.004999999999999999,21.375318464709576,0.524505637857205
22,0,0.32374166525929343,0.2630344058337938,0.289506617194985,0.2630344058337938,0.004103036184130104,-1.2651085226737564,0.26827654713441984,0.005,22.335309800670593,0.5389582786755949
23,0,0.32374166525929343,0.2630344058337938,0.289506617194985,0.25153876699596445,0.003753914154001059,-1.3012433892087216,0.25630507002298153,0.004999999999999999,23.289271682819475,0.5560585734762156
24,1,2.3146965256562866,2.584962500721156,2.8744691179161412,2.700439718141092,0.10071579401987885,-1.2288822601516642,2.676349143382478,0.005000000000000001,23.786227796177034,0.7069300137307485
25,0,0.32374166525929343,0.4150374992788438,0.289506617194985,0.2954558835261712,0.0041509096112055666,-1.2616526983823917,0.3199478834402307,0.005000000000000001,25.033406653528903,0.6376624178908942
26,0,0.32374166525929343,0.4150374992788438,0.289506617194985,0.2837929660005913,0.0038307663665264613,-1.293433775307932,0.29545208721001964,0.005,26.081999828685458,0.6194227649262919
27,0,0.32374166525929343,0.4150374992788438,0.289506617194985,0.27301849440641596,0.0035463798049764073,-1.3242790056876146,0.2811960815316243,0.004999999999999999,27.07719024647944,0.6177865624143238
28,0,0.32374166525929343,0.2630344058337938,0.289506617194985,0.2630344058337938,0.0032926036270706227,-1.354238275981345,0.2696643392417994,0.004999999999999999,28.0486611606211,0.6242318922071669
29,0,0.32374166525929343,0.2630344058337938,0.21150410519371174,0.253756592245783,0.0030651872421887383,-1.383358053794268,0.25950591388824196,0.004999999999999999,29.006445180942453,0.6355176633724376
30,0,0.32374166525929343,0.2630344058337938,0.21150410519371174,0.24511249783653147,0.00286059461096011,-1.411681611368195,0.25027666366199813,0.005,29.954881031735496,0.6501078167484511
31,1,2.3146965256562866,2.584962500721156,2.8744691179161412,2.722466024471091,0.08160475662616307,-1.3538924286004175,2.6962562262822134,0.004999999999999999,30.273723618672733,0.8101100835105397
32,0,0.32374166525929343,0.4150374992788438,0.289506617194985,0.28010791919273537,0.003117062961893957,-1.3801187352598134,0.3057247670398582,0.005000000000000001,31.616425520542528,0.7362449752823278
33,0,0.32374166525929343,0.4150374992788438,0.289506617194985,0.27130202181739443,0.0029246100731352698,-1.4057034438550886,0.28363999651100125,0.005,32.6950315811531,0.7143105550149278
34,0,0.32374166525929343,0.4150374992788438,0.289506617194985,0.2630344058337938,0.0027494909197072204,-1.4306751569970402,0.271714761114734,0.005,33.70183152875286,0.7096818580029233
35,1,2.3146965256562866,2.584962500721156,2.4594316186372973,2.6244908649077936,0.06757221959450499,-1.3856347639789135,2.588740285251877,0.005,33.785444736321786,0.9214277512688583
36,1,2.3146965256562866,2.0,2.137503523749935,2.4405725913859815,0.056631140232862975,-1.3520403403020111,2.3192176759633893,0.005,32.16353879822511,1.3965169296630262
37,0,0.32374166525929343,0.5849625007211561,0.4594316186372972,0.331205908475373,0.0032765981446463144,-1.3743409252125787,0.42991804845073583,0.005,35.0266997817417,1.1081696951463693
38,1,2.3146965256562866,1.5849625007211563,2.137503523749935,2.321928094887362,0.04875201635486626,-1.3480929415674154,2.1808984155822246,0.004999999999999999,33.09755520849566,1.6447449775108676
39,0,0.32374166525929343,0.7776075786635522,0.4594316186372972,0.3575520046180836,0.0033980765022851855,-1.3690215058745991,0.4632594849403848,0.004999999999999999,36.02607448858926,1.3354576854552356
40,0,0.32374166525929343,0.7776075786635522,0.4594316186372972,0.34792330342030686,0.003217475908101619,-1.3895549990987206,0.39814403556346334,0.005,37.85973061139856,1.1693182363326897
41,0,0.32374166525929343,0.7776075786635522,0.4594316186372972,0.3388019134517586,0.003050960921004986,-1.4097058232208042,0.36872906042225767,0.005,39.279016919426724,1.071937845483944
42,0,0.32374166525929343,0.5849625007211561,0.4594316186372972,0.3301486016923309,0.0028970981166098753,-1.4294860382205457,0.3503867843380959,0.005,40.497928999033725,1.0129881234791418
43,0,0.32374166525929343,0.5849625007211561,0.4594316186372972,0.3219280948873623,0.002754632557525394,-1.448907337444723,0.33673053138641884,0.005,41.60350492173672,0.9779594063692206
44,0,0.32374166525929343,0.5849625007211561,0.4594316186372972,0.31410859042806305,0.002622461680432231,-1.4679810329677139,0.325485802361561,0.005,42.636914633507246,0.9591319485117122
45,0,0.32374166525929343,0.5849625007211561,0.3719687773869579,0.3066613382340518,0.0024996135482378,-1.4867180485316283,0.3156707005808751,0.005,43.61964346301456,0.9520707278725542
46,1,2.3146965256562866,2.0,2.137503523749935,2.415037499278844,0.044147512475805506,-1.4614211165630024,2.3840838644136246,0.004999999999999999,43.6913830425632,1.1401731115561322
47,1,2.3146965256562866,2.0,1.8744691179161412,2.2927817492278457,0.038998120755409094,-1.441235563848977,2.1906230918863003,0.005000000000000001,41.93669271881188,1.5649114959812533
48,0,0.32374166525929343,0.5849625007211561,0.5525410230287786,0.3584539709124763,0.00279905990544993,-1.4583935981134175,0.4404840350924365,0.005,44.86869062783953,1.317262741264678
49,0,0.32374166525929343,0.4150374992788438,0.5525410230287786,0.35049724708413327,0.002676036080087929,-1.475285320468032,0.3846178207364304,0.005000000000000001,46.50203804439689,1.2030937377032713
50,0,0.32374166525929343,0.4150374992788438,0.5525410230287786,0.3428877135230085,0.002560984018483925,-1.4919175990455926,0.3640930201817633,0.005,47.78916128672069,1.1385007655820185
51,0,0.32374166525929343,0.4150374992788438,0.5525410230287786,0.3428877135230085,0.0024532266913417367,-1.5082971509839922,0.3509226296548344,0.005,48.922835427776455,1.1000179517818607
52,0,0.32374166525929343,0.4150374992788438,0.4594316186372972,0.3428877135230085,0.002352157728268356,-1.5244305317958435,0.34047850287054676,0.005,49.96787232984247,1.07819772470881
53,0,0.32374166525929343,0.4150374992788438,0.4594316186372972,0.3428877135230085,0.0022572327172198925,-1.5403241281493933,0.33140996227071956,0.005,50.95239640496044,1.0683597562931437
54,0,0.32374166525929343,0.4150374992788438,0.4594316186372972,0.3081222953623318,0.002167961732922663,-1.5559841533744247,0.32317884647845496,0.004999999999999999,51.89046025242859,1.0678760901193238
55,0,0.32374166525929343,0.4150374992788438,0.4594316186372972,0.3081222953623318,0.0020839028992041264,-1.571416645137134,0.31552177573927015,0.005000000000000001,52.78958882310291,1.0751537947407166
56,0,0.32374166525929343,0.4150374992788438,0.3719687773869579,0.3081222953623318,0.0020046568244502794,-1.5866274648376475,0.30828929261036847,0.005,53.65383954762077,1.0891830913119958
