subject,r_adaptive_shannon_w20_static_shannon,r_adaptive_shannon_w20_bayesian_surprise,r_adaptive_shannon_w20_changepoint_surprise,r_bayesian_surprise_static_shannon,r_bayesian_surprise_changepoint_surprise,r_changepoint_surprise_static_shannon
sub-001,0.9524913585467731,0.3173177864680714,0.9678070758088656,0.2744201916881288,0.3323915054712476,0.9942272468520561
sub-002,0.9580450427923912,0.28224059561180714,0.9715536386820635,0.2781564236833982,0.30002786989353225,0.9961030128073094
sub-003,0.9491803381718076,0.25758122546080137,0.9666060652680819,0.26205479437036705,0.26602967602760735,0.988077925104205
sub-004,0.9545026917637066,0.23564371419217586,0.9698279872748,0.25779027450405767,0.24271057764668696,0.9934702980886124
sub-005,0.9504034388013864,0.32871033533509697,0.9677924669815359,0.27045959744345016,0.3417882791199529,0.9886797640967673
sub-006,0.9431309316367232,0.2621363047264045,0.9683183060604081,0.25596012404006935,0.26267792830205733,0.986933394683631
sub-007,0.9054352428528472,0.4956511659882183,0.9649986801975834,0.5077840209571978,0.5527908431705205,0.9505921055309128
sub-008,0.9462549884802569,0.2809600886177636,0.9665469314024078,0.27538063874469826,0.29417142090949866,0.99345144657829
sub-009,0.9634036553985496,0.26446166229768225,0.9729113248316417,0.2554211783608053,0.27070566455775125,0.9959983792265524
sub-010,0.9644161207616914,0.33546814759565513,0.9757592733451427,0.26905857270560657,0.346694026402078,0.9922903256703763
sub-011,0.951216099329353,0.2697243090613247,0.9679458826454905,0.2565180324785953,0.2760743735369773,0.9900993944957375
sub-013,0.9583107393755985,0.28448163451715974,0.9714786279232356,0.25641716406564125,0.2914662625425342,0.9959388075126112
sub-014,0.948631995221853,0.256197979283316,0.9650575560103849,0.24465079988471825,0.268484029494949,0.9944997859547652
sub-015,0.9594642910639927,0.24031729866270116,0.9724869154871214,0.2573252311750373,0.249256415572372,0.9937840014639325
sub-016,0.9480755177861107,0.2645394210051681,0.9706128272118527,0.2650334328729167,0.2770292268193901,0.9894261471363969
sub-017,0.9601704639554539,0.26446670256851185,0.9737757853586345,0.25425117850902706,0.2695867268326039,0.9937605359344831
sub-018,0.965573680825692,0.3074283198168856,0.9758267543290732,0.26939115499610905,0.31693812328805593,0.9962910507665615
sub-019,0.9438627569125303,0.2426698572478402,0.9635263984036273,0.25861315872219787,0.2466149417334793,0.9875980550481533
sub-020,0.9598681734723747,0.2427912964373083,0.9710166660171232,0.256931550075618,0.2471779981738761,0.9951821617439862
sub-021,0.9520832832560147,0.2781941793819058,0.9662261223572659,0.2599839599052517,0.2986044713588156,0.9956179716548604
sub-022,0.9600832325656614,0.24067406829888932,0.9726525420739718,0.26133475082831886,0.24712384841947949,0.9928783775196347
sub-023,0.9493721822279744,0.3333661119660601,0.9669903369485726,0.2560564777842305,0.34857072350989016,0.9910367304449743
sub-024,0.9659331104485488,0.3280429415829124,0.9779057695774174,0.2599357110155479,0.3280293510150815,0.9940051753973592
sub-025,0.9578858384671541,0.25087946068832373,0.9712351710664461,0.2529657769370562,0.24946919291228528,0.991386834813776
sub-026,0.9595329939336368,0.2840047088171323,0.9707574694329983,0.25212537962656123,0.2925637750481146,0.9970308913370385
sub-027,0.9454938415544376,0.24202245828639293,0.96433704762557,0.26203011512469726,0.25360695060971483,0.9933752913947895
sub-028,0.9574798394752182,0.28231354220916727,0.9706192762032606,0.2674050889260726,0.29098003614310636,0.9948817586193108
sub-029,0.9405877659871946,0.2257470104735886,0.9651604466248426,0.25116206834300636,0.23251481483180642,0.9847864315932857
sub-030,0.9510994651140553,0.2559483042143412,0.968557479412868,0.284452412055661,0.2627345879643927,0.9899003516413778
sub-031,0.9454403219227395,0.25505622569936637,0.966436437681757,0.2606633345210085,0.262528560645548,0.9910531135378648
sub-032,0.9511981032654743,0.22758041100451928,0.9668275650390591,0.25777914584653805,0.23422490273886068,0.9911630014870177
sub-033,0.9526294760224336,0.31125424519276795,0.9717879056678844,0.26947158794305986,0.32007467226498987,0.9915339504535599
sub-034,0.94472431939286,0.3059831646168329,0.9610199853980815,0.26735501843287224,0.33476108695037504,0.989550754615467
sub-035,0.9415232848736795,0.2698981398787851,0.9637957523213313,0.25123822332097234,0.27503872199215673,0.9877641625097088
sub-036,0.9559198018655386,0.25873224510598225,0.9677105446216883,0.25521707210860684,0.26829657709925264,0.9969296682552093
sub-037,0.9415874996342527,0.30793365014147756,0.963487012852365,0.25141366339284943,0.32269119220579556,0.9918108784306454
sub-038,0.951670145077104,0.2894324835334291,0.9681283513560359,0.27149256573745195,0.297563836815901,0.9946253107106351
sub-039,0.9546002136231205,0.29811280673157065,0.9680625959438873,0.29932617663982947,0.3033547729247574,0.9953168412970842
sub-040,0.9417527988616928,0.2796642309762302,0.9601186043458697,0.2682565223433502,0.30018838948550186,0.9933732419190531
