subject,r_adaptive_shannon_w20_static_shannon,r_adaptive_shannon_w20_bayesian_surprise,r_adaptive_shannon_w20_changepoint_surprise,r_bayesian_surprise_static_shannon,r_bayesian_surprise_changepoint_surprise,r_changepoint_surprise_static_shannon
sub-001,0.9568456080778636,0.4267636100376836,0.982241383552435,0.39520093363185016,0.43632156336041417,0.979335763892719
sub-002,0.9688904133761406,0.44895937452209267,0.9824066155345473,0.4172647838356891,0.44357714967613676,0.9911073569510418
sub-003,0.9476295332624213,0.8445912087532386,0.9959471437895144,0.6539873072706807,0.8293391005041033,0.9537337303847208
sub-004,0.9085595969030917,0.3929982576248304,0.9829450533399003,0.24004566221172402,0.41757718477448813,0.9258917745889114
sub-005,0.8216293594017043,0.5501328842508478,0.9928973444790444,0.42471549402843106,0.5877805960130644,0.8226439559414336
sub-006,0.9667542447073466,0.5309385808895708,0.9868045887768674,0.4424208346231235,0.5479530603906918,0.9853668527406068
sub-007,0.9764245582692731,0.44326181352740046,0.9849018020942993,0.423876693888684,0.4628184612734768,0.9934958296971279
sub-008,0.9323395683510742,0.44102756278172267,0.9688146497297374,0.4173903501467338,0.4682785327892656,0.9763625917074714
sub-009,0.9507864502461135,0.5904131552863985,0.9916208131217642,0.4719812758285973,0.5775467431306419,0.9573181409146897
sub-010,0.9352833753696139,0.49902214817395396,0.9624026159994099,0.43306057653663443,0.522059670563982,0.9901661654267374
sub-011,0.9572240671395549,0.5581190186159777,0.9778452627102017,0.4473509867275961,0.5474689564341588,0.9813706334211149
sub-013,0.9700850396180557,0.48337654574520716,0.9838474888942803,0.42071445181160727,0.493880924904302,0.9897080834273954
sub-014,0.9650581205414577,0.43419210542468833,0.9863988073656583,0.3984716645712377,0.44146463073580555,0.9808125016900706
sub-015,0.9650429731007626,0.4199304592686112,0.9827895821501516,0.4419638908672105,0.43365607406152795,0.9873457874467979
sub-016,0.9475508602166849,0.4485422048817599,0.9775217714525994,0.4045376008597279,0.46961373161824743,0.9784684489145334
sub-017,0.9668901779830651,0.504356970351588,0.9826794085549154,0.4195210085261912,0.5130737403303086,0.9888550698875662
sub-018,0.9718142068830207,0.4509730396412974,0.9843156313079395,0.4228545641366034,0.46230842281818774,0.9924072849681852
sub-019,0.9492936661335889,0.45074901941008133,0.9762446663191177,0.4045658108454311,0.46349093191522645,0.9760429235445082
sub-020,0.9376193928926523,0.5020549079667829,0.9638089606478313,0.41449856790592116,0.5190854576581051,0.9731252644988396
sub-021,0.9652116704449343,0.49708871460153103,0.9797581830177905,0.4208376213939491,0.5153624371883071,0.9904684822139496
sub-022,0.982341706936799,0.4258179162596642,0.9912993941355948,0.43307342704550067,0.4380105340464546,0.993499994723423
sub-023,0.9567918746636707,0.45935398001917743,0.9716095859823491,0.43397363500996256,0.478952972442502,0.9925781624995919
sub-024,0.9189579485818391,0.36882848430339604,0.9629597563276191,0.41070754319018404,0.3999068617400332,0.9673328511549041
sub-025,0.9168370519934577,0.5142394132235781,0.9778817744949846,0.5014692250582354,0.532638977905605,0.9554945191068756
sub-026,0.9679928920396044,0.45234718198133866,0.9786180827335873,0.42188101537560224,0.46585576360770414,0.9922015331566962
sub-027,0.9684587716362434,0.5113941181058582,0.9763669766445385,0.4158757614231139,0.5067447567824339,0.9712159456076338
sub-028,0.9736198494065084,0.43906965463892256,0.9829349899133498,0.4305992639213231,0.4500520359289345,0.9935112131947542
sub-029,0.9640243443914895,0.5029283661576298,0.9835950032373137,0.42961821929294125,0.5110237091500416,0.9889312884291731
sub-030,0.979764581881504,0.6764972519242164,0.9951563364981475,0.6006570105606992,0.6685934098140796,0.9871556648666684
sub-031,0.9289424926142973,0.40058996374753464,0.9731518539976038,0.3881654224345478,0.41611243917193885,0.9563522494782616
sub-032,0.8594225477654734,0.8230650066616623,0.999867170576067,0.5679500613311649,0.8210171192061777,0.8537918158367832
sub-033,0.8991894432613781,0.38846352573754755,0.976251671886483,0.340081791044438,0.4021101462239638,0.9335913068820334
sub-034,0.9602777436384232,0.43009666919864153,0.9774911632405335,0.4247138303292052,0.4373432792705266,0.9882940258871257
sub-035,0.9368568336165667,0.5759077658551629,0.971572887526307,0.5754026170480644,0.5718644198142264,0.9792359973268501
sub-036,0.9568452534017492,0.4712691223004809,0.9799371308265101,0.42113516254347705,0.48546064899780367,0.9888650330577017
sub-037,0.9581013118899677,0.4487002041215827,0.9755463907464745,0.4158892746830297,0.4653139950217377,0.9892947221771289
sub-038,0.9605741076278193,0.5066857789993888,0.9764576080423932,0.4220846135950386,0.51580664674084,0.9899145886422666
sub-039,0.9485121544159318,0.44471777763295256,0.96873232184227,0.4346320131217646,0.4667254203811771,0.9884925253719485
sub-040,0.9456031364493898,0.43893176926322286,0.9804668012087228,0.4318915688594456,0.43656188849452116,0.9656471452935979
