,static_shannon,adaptive_shannon_w20,bayesian_surprise,changepoint_surprise
static_shannon,1.0,0.9535292574903387,0.4179418655028838,0.980506287708253
adaptive_shannon_w20,0.9535292574903387,1.0,0.4620144059804427,0.9777583502765558
bayesian_surprise,0.4179418655028838,0.4620144059804427,1.0,0.4753984242596553
changepoint_surprise,0.980506287708253,0.9777583502765558,0.4753984242596553,1.0
