,static_shannon,adaptive_shannon_w20,bayesian_surprise,changepoint_surprise
static_shannon,1.0,0.9522158791916148,0.2625447531522032,0.9920028624984444
adaptive_shannon_w20,0.9522158791916148,1.0,0.2773206912023711,0.9683609828366335
bayesian_surprise,0.2625447531522032,0.2773206912023711,1.0,0.2874232657693349
changepoint_surprise,0.9920028624984444,0.9683609828366335,0.2874232657693349,1.0
